Team,Year,Hard_Hit,Exit_Velo,Launch_A,BA,Logo
ARI,2015,32.6,88.5,10,0.264,logos/ARI.svg
ATL,2015,29.4,87,8.4,0.251,logos/ATL.svg
BAL,2015,35.2,88.8,12.3,0.25,logos/BAL.svg
BOS,2015,33.4,88.5,10.6,0.265,logos/BOS.svg
CHC,2015,33.4,88.1,12.7,0.244,logos/CHC.svg
CHW,2015,31.6,87.8,8.9,0.25,logos/CHW.svg
CIN,2015,27.6,86.9,11.7,0.248,logos/CIN.svg
CLE,2015,34.7,88.3,11.2,0.256,logos/CLE.svg
COL,2015,33.2,88.4,10.9,0.265,logos/COL.svg
DET,2015,34.7,88.4,12.4,0.27,logos/DET.svg
HOU,2015,35.8,88.7,13.3,0.25,logos/HOU.svg
KCR,2015,32.5,88,11.3,0.269,logos/KCR.svg
LAA,2015,30.9,87.8,11.2,0.246,logos/LAA.svg
LAD,2015,35.3,88.6,11.7,0.25,logos/LAD.svg
MIA,2015,32.4,88.3,6.2,0.26,logos/MIA.svg
MIL,2015,32.1,88,9.8,0.251,logos/MIL.svg
MIN,2015,32.8,88.1,11.7,0.247,logos/MIN.svg
NYM,2015,34.6,88.7,12.6,0.244,logos/NYM.svg
NYY,2015,34.2,88.2,13.4,0.251,logos/NYY.svg
OAK,2015,30,87.3,10.8,0.251,logos/OAK.svg
PHI,2015,29.7,87.4,10.7,0.249,logos/PHI.svg
PIT,2015,35.7,88.5,9.3,0.26,logos/PIT.svg
SDN,2015,32.4,87.9,11.3,0.243,logos/SDN.svg
SEA,2015,38.8,89.9,11,0.249,logos/SEA.svg
SF,2015,31.3,87.6,9.1,0.267,logos/SF.svg
STL,2015,32.9,88.1,10.7,0.253,logos/STL.svg
TB,2015,32.3,87.9,12.8,0.252,logos/TB.svg
TEX,2015,35.6,88.6,11,0.257,logos/TEX.svg
TOR,2015,36.6,88.8,11.4,0.269,logos/TOR.svg
WAS,2015,37.4,89.4,9.4,0.251,logos/WAS.svg
ARI,2016,34.7,89,9.7,0.261,logos/ARI.svg
ATL,2016,31.5,88.4,9.4,0.255,logos/ATL.svg
BAL,2016,37.4,89.4,13.7,0.256,logos/BAL.svg
BOS,2016,35.2,89.1,11.3,0.282,logos/BOS.svg
CHC,2016,32.8,88.2,13.3,0.256,logos/CHC.svg
CHW,2016,33.2,88.5,10.7,0.257,logos/CHW.svg
CIN,2016,28.3,86.8,11.6,0.256,logos/CIN.svg
CLE,2016,35,88.5,13.2,0.262,logos/CLE.svg
COL,2016,35.7,88.5,11,0.275,logos/COL.svg
DET,2016,36.8,89,13.1,0.267,logos/DET.svg
HOU,2016,36,88.7,11.5,0.247,logos/HOU.svg
KCR,2016,33.9,88.4,10.6,0.261,logos/KCR.svg
LAA,2016,33.8,88.4,10.9,0.26,logos/LAA.svg
LAD,2016,37.2,89.3,10.8,0.249,logos/LAD.svg
MIA,2016,33.6,88.4,8.3,0.263,logos/MIA.svg
MIL,2016,34.1,88.6,10.1,0.244,logos/MIL.svg
MIN,2016,35,88.5,12.4,0.251,logos/MIN.svg
NYM,2016,33.9,88.2,14.7,0.246,logos/NYM.svg
NYY,2016,32.8,88.1,11.3,0.252,logos/NYY.svg
OAK,2016,32.9,87.8,12.7,0.246,logos/OAK.svg
PHI,2016,34,88.3,10.2,0.24,logos/PHI.svg
PIT,2016,33.5,88.1,10.4,0.257,logos/PIT.svg
SDN,2016,32.3,87.4,11.7,0.235,logos/SDN.svg
SEA,2016,36.7,89.3,10.8,0.259,logos/SEA.svg
SF,2016,31.1,87.5,11.3,0.258,logos/SF.svg
STL,2016,36.1,88.8,13.1,0.255,logos/STL.svg
TB,2016,36.7,89.1,14.5,0.243,logos/TB.svg
TEX,2016,36.1,88.8,11.4,0.262,logos/TEX.svg
TOR,2016,37.8,89.2,12.5,0.248,logos/TOR.svg
WAS,2016,36.2,89.6,12.1,0.256,logos/WAS.svg
ARI,2017,31.8,87,8.4,0.254,logos/ARI.svg
ATL,2017,34.6,87.7,12.9,0.263,logos/ATL.svg
BAL,2017,33.2,87.4,10.1,0.26,logos/BAL.svg
BOS,2017,37.1,88.5,15.3,0.258,logos/BOS.svg
CHC,2017,28.9,86.1,12.6,0.255,logos/CHC.svg
CHW,2017,33.5,87.1,14,0.256,logos/CHW.svg
CIN,2017,34,87.3,12.6,0.253,logos/CIN.svg
CLE,2017,33.4,87.6,13.5,0.263,logos/CLE.svg
COL,2017,34,87.4,12.3,0.273,logos/COL.svg
DET,2017,33.2,87.1,10.7,0.258,logos/DET.svg
HOU,2017,30.3,86.3,10.2,0.282,logos/HOU.svg
KCR,2017,36.4,88.3,12.2,0.259,logos/KCR.svg
LAA,2017,34,87.2,12.2,0.243,logos/LAA.svg
LAD,2017,32.6,87.4,13.5,0.249,logos/LAD.svg
MIA,2017,35.1,88,10.2,0.267,logos/MIA.svg
MIL,2017,32,86.9,10.9,0.249,logos/MIL.svg
MIN,2017,36,88.1,12.6,0.26,logos/MIN.svg
NYM,2017,35.8,87.5,12.6,0.25,logos/NYM.svg
NYY,2017,30,86.7,10.6,0.262,logos/NYY.svg
OAK,2017,32.5,87.3,11,0.246,logos/OAK.svg
PHI,2017,37.5,88.3,11.8,0.25,logos/PHI.svg
PIT,2017,35.2,88,12.4,0.244,logos/PIT.svg
SDN,2017,33.9,87.4,12,0.234,logos/SDN.svg
SEA,2017,36.6,88.1,11.6,0.259,logos/SEA.svg
SF,2017,33.7,87.6,12.6,0.249,logos/SF.svg
STL,2017,27.5,85.5,12.9,0.256,logos/STL.svg
TB,2017,32.5,87,10.7,0.245,logos/TB.svg
TEX,2017,30.5,86.7,10.1,0.244,logos/TEX.svg
TOR,2017,31.9,86.8,10,0.24,logos/TOR.svg
WAS,2017,35.1,88,11.7,0.266,logos/WAS.svg
ARI,2018,34.8,88.3,11.4,0.235,logos/ARI.svg
ATL,2018,33.6,88,12.5,0.257,logos/ATL.svg
BAL,2018,35.7,88.5,11.8,0.239,logos/BAL.svg
BOS,2018,40,89.8,12.4,0.268,logos/BOS.svg
CHC,2018,35.9,88.7,10.5,0.258,logos/CHC.svg
CHW,2018,36,88.3,11.6,0.241,logos/CHW.svg
CIN,2018,31.8,87.4,13.4,0.254,logos/CIN.svg
CLE,2018,37,88.8,13.9,0.259,logos/CLE.svg
COL,2018,36.8,88.9,10,0.256,logos/COL.svg
DET,2018,33.3,87.6,13.1,0.241,logos/DET.svg
HOU,2018,34.8,88,13.5,0.255,logos/HOU.svg
KCR,2018,34.7,88.2,13.6,0.245,logos/KCR.svg
LAA,2018,36.8,88.2,13.5,0.242,logos/LAA.svg
LAD,2018,37.6,89.2,14.5,0.25,logos/LAD.svg
MIA,2018,32.7,87.5,9.8,0.237,logos/MIA.svg
MIL,2018,37.8,88.9,10.2,0.252,logos/MIL.svg
MIN,2018,34.1,87.9,14.3,0.25,logos/MIN.svg
NYM,2018,33.4,87.8,13.8,0.234,logos/NYM.svg
NYY,2018,38.3,89.4,13.5,0.249,logos/NYY.svg
OAK,2018,39.4,89.5,14.9,0.252,logos/OAK.svg
PHI,2018,35.3,88.1,13.2,0.234,logos/PHI.svg
PIT,2018,34.7,88.2,12.1,0.254,logos/PIT.svg
SDN,2018,34.4,88.5,9.6,0.235,logos/SDN.svg
SEA,2018,35.8,88.7,11.3,0.254,logos/SEA.svg
SF,2018,33.4,87.6,11.7,0.239,logos/SF.svg
STL,2018,36.5,88.8,12.2,0.249,logos/STL.svg
TB,2018,33.3,87.7,10.3,0.258,logos/TB.svg
TEX,2018,34.2,88.2,11.9,0.24,logos/TEX.svg
TOR,2018,40.1,89.2,13.8,0.244,logos/TOR.svg
WAS,2018,35.5,88.4,11.8,0.254,logos/WAS.svg
ARI,2019,34.4,88,11.8,0.252,logos/ARI.svg
ATL,2019,38.6,89.2,13.3,0.258,logos/ATL.svg
BAL,2019,33.6,88,11.8,0.246,logos/BAL.svg
BOS,2019,41.4,89.9,12.8,0.269,logos/BOS.svg
CHC,2019,36,88.9,10.9,0.252,logos/CHC.svg
CHW,2019,37.5,89.1,10.8,0.261,logos/CHW.svg
CIN,2019,33.1,87.4,13.6,0.244,logos/CIN.svg
CLE,2019,37.5,89.5,12.9,0.25,logos/CLE.svg
COL,2019,35.5,88.5,12.5,0.265,logos/COL.svg
DET,2019,36.5,88.1,14.1,0.24,logos/DET.svg
HOU,2019,36.3,88.4,13.4,0.274,logos/HOU.svg
KCR,2019,33.1,88,12.2,0.247,logos/KCR.svg
LAA,2019,34.4,88,13,0.247,logos/LAA.svg
LAD,2019,38.4,89.3,14.5,0.257,logos/LAD.svg
MIA,2019,35.2,88.3,9.1,0.241,logos/MIA.svg
MIL,2019,40,89.7,12,0.246,logos/MIL.svg
MIN,2019,39.8,89.7,14.9,0.27,logos/MIN.svg
NYM,2019,38.1,89.1,11.1,0.257,logos/NYM.svg
NYY,2019,40.7,89.9,13.5,0.267,logos/NYY.svg
OAK,2019,39.2,89.3,14.2,0.249,logos/OAK.svg
PHI,2019,36.3,88.8,13.5,0.246,logos/PHI.svg
PIT,2019,34.3,88.3,10.2,0.265,logos/PIT.svg
SDN,2019,37.1,88.9,10.8,0.238,logos/SDN.svg
SEA,2019,32.9,87.4,14.4,0.237,logos/SEA.svg
SF,2019,35.7,87.8,13.3,0.239,logos/SF.svg
STL,2019,34.4,87.9,13.6,0.245,logos/STL.svg
TB,2019,39.3,89.5,11.2,0.254,logos/TB.svg
TEX,2019,38.9,89.4,12.5,0.248,logos/TEX.svg
TOR,2019,37.2,88.7,14.3,0.236,logos/TOR.svg
WAS,2019,37,88.6,14.1,0.265,logos/WAS.svg
ARI,2020,35.4,88,12.5,0.241,logos/ARI.svg
ATL,2020,42.7,89.5,14.7,0.268,logos/ATL.svg
BAL,2020,33.5,87,14,0.258,logos/BAL.svg
BOS,2020,36.6,88.5,11,0.265,logos/BOS.svg
CHC,2020,40.1,88.9,11.4,0.22,logos/CHC.svg
CHW,2020,40,88.7,11.2,0.261,logos/CHW.svg
CIN,2020,37.3,88.2,14.3,0.212,logos/CIN.svg
CLE,2020,35.6,88.2,12.6,0.228,logos/CLE.svg
COL,2020,31.7,87,13.3,0.257,logos/COL.svg
DET,2020,39.4,88.5,12.6,0.245,logos/DET.svg
HOU,2020,35.2,88.3,14.4,0.24,logos/HOU.svg
KCR,2020,33.9,87.1,11.6,0.244,logos/KCR.svg
LAA,2020,36.9,89.1,13.7,0.248,logos/LAA.svg
LAD,2020,43.9,90,15,0.256,logos/LAD.svg
MIA,2020,34.4,87.4,10.3,0.244,logos/MIA.svg
MIL,2020,36.7,88.2,12,0.223,logos/MIL.svg
MIN,2020,39.6,89.1,15.5,0.242,logos/MIN.svg
NYM,2020,37,88.4,9.8,0.272,logos/NYM.svg
NYY,2020,39.1,89.2,11.8,0.247,logos/NYY.svg
OAK,2020,37.1,89,16.1,0.225,logos/OAK.svg
PHI,2020,37.6,88.2,14.1,0.257,logos/PHI.svg
PIT,2020,36.8,88.1,10.2,0.22,logos/PIT.svg
SDN,2020,42.1,89.8,11.7,0.257,logos/SDN.svg
SEA,2020,36,87.8,12.7,0.226,logos/SEA.svg
SF,2020,39.4,88.9,14.7,0.263,logos/SF.svg
STL,2020,34.9,87.3,12.8,0.234,logos/STL.svg
TB,2020,39.1,88.9,11.2,0.238,logos/TB.svg
TEX,2020,37.2,88.7,12.5,0.217,logos/TEX.svg
TOR,2020,41.9,89.5,11.9,0.255,logos/TOR.svg
WAS,2020,35.3,87.7,11.2,0.264,logos/WAS.svg
ARI,2021,35.8,87.7,12.9,0.236,logos/ARI.svg
ATL,2021,40.8,89.5,13.8,0.244,logos/ATL.svg
BAL,2021,36.9,88.3,13.3,0.239,logos/BAL.svg
BOS,2021,42.5,89.9,13.7,0.261,logos/BOS.svg
CHC,2021,38.8,88.7,11.7,0.237,logos/CHC.svg
CHW,2021,39.7,89.2,10.4,0.256,logos/CHW.svg
CIN,2021,38.1,88.4,13.2,0.249,logos/CIN.svg
CLE,2021,38.6,88.9,12.1,0.238,logos/CLE.svg
COL,2021,36.1,87.7,11.3,0.249,logos/COL.svg
DET,2021,38.1,88.4,13.3,0.242,logos/DET.svg
HOU,2021,40.8,89.5,14,0.267,logos/HOU.svg
KCR,2021,39.2,89.2,12.7,0.249,logos/KCR.svg
LAA,2021,35.1,87.9,12.3,0.245,logos/LAA.svg
LAD,2021,40.3,89.5,14.7,0.244,logos/LAD.svg
MIA,2021,37.2,88.1,11,0.233,logos/MIA.svg
MIL,2021,38.4,88.4,12.5,0.233,logos/MIL.svg
MIN,2021,41.6,89.9,13.1,0.241,logos/MIN.svg
NYM,2021,37.9,88.4,11.9,0.239,logos/NYM.svg
NYY,2021,42.8,89.9,12.5,0.237,logos/NYY.svg
OAK,2021,39.6,89,14.1,0.238,logos/OAK.svg
PHI,2021,37,88.4,11.6,0.24,logos/PHI.svg
PIT,2021,34.2,87.5,10.3,0.236,logos/PIT.svg
SDN,2021,40.7,89.4,10.5,0.242,logos/SDN.svg
SEA,2021,37.2,87.9,14,0.226,logos/SEA.svg
SF,2021,38.8,88.7,14.8,0.249,logos/SF.svg
STL,2021,37.4,88.7,14,0.244,logos/STL.svg
TB,2021,39.9,88.9,12.6,0.243,logos/TB.svg
TEX,2021,35.7,87.9,10.9,0.232,logos/TEX.svg
TOR,2021,42.3,90.3,13.6,0.266,logos/TOR.svg
WAS,2021,39.3,88.6,9.5,0.258,logos/WAS.svg
ARI,2022,35.8,88.1,12.4,0.23,logos/ARI.svg
ATL,2022,43.5,89.9,13.5,0.253,logos/ATL.svg
BAL,2022,39,88.7,15.5,0.236,logos/BAL.svg
BOS,2022,40.9,89.3,11.4,0.258,logos/BOS.svg
CHC,2022,37.4,88.4,10.4,0.238,logos/CHC.svg
CHW,2022,40.8,89.2,10.6,0.256,logos/CHW.svg
CIN,2022,34.9,87.2,12.9,0.235,logos/CIN.svg
CLE,2022,33.1,87.2,11.7,0.254,logos/CLE.svg
COL,2022,36.8,87.6,9.9,0.254,logos/COL.svg
DET,2022,36.4,87.6,11.8,0.231,logos/DET.svg
HOU,2022,39.1,88.7,14.2,0.248,logos/HOU.svg
KCR,2022,37.8,88.8,12.9,0.244,logos/KCR.svg
LAA,2022,35.8,88.3,13.7,0.233,logos/LAA.svg
LAD,2022,41.9,89.5,15.8,0.257,logos/LAD.svg
MIA,2022,37.2,88.2,10.9,0.23,logos/MIA.svg
MIL,2022,39.8,89,13.5,0.235,logos/MIL.svg
MIN,2022,41.1,89.6,13.1,0.248,logos/MIN.svg
NYM,2022,37.1,88.2,11.9,0.259,logos/NYM.svg
NYY,2022,41.9,89.7,13.3,0.241,logos/NYY.svg
OAK,2022,34.2,87.7,11.7,0.216,logos/OAK.svg
PHI,2022,41.1,89.3,13,0.253,logos/PHI.svg
PIT,2022,37.3,88.3,11.6,0.222,logos/PIT.svg
SDN,2022,37.7,88.4,13.2,0.241,logos/SDN.svg
SEA,2022,36.7,88.2,15,0.23,logos/SEA.svg
SF,2022,37.7,88.2,15.3,0.234,logos/SF.svg
STL,2022,37.4,88.2,14.3,0.252,logos/STL.svg
TB,2022,38.7,88.9,11.4,0.239,logos/TB.svg
TEX,2022,39.3,89.1,14,0.239,logos/TEX.svg
TOR,2022,44.3,90.2,11.2,0.264,logos/TOR.svg
WAS,2022,35.4,87.5,10.3,0.249,logos/WAS.svg
ARI,2023,38.2,88.9,10.8,0.25,logos/ARI.svg
ATL,2023,46,91,12.1,0.276,logos/ATL.svg
BAL,2023,40.8,89.4,13.4,0.255,logos/BAL.svg
BOS,2023,40.2,89.1,12.3,0.258,logos/BOS.svg
CHC,2023,38.4,88.7,12.4,0.254,logos/CHC.svg
CHW,2023,37.7,88.6,10.7,0.238,logos/CHW.svg
CIN,2023,36.5,88.2,13.8,0.249,logos/CIN.svg
CLE,2023,33,87.5,11.7,0.25,logos/CLE.svg
COL,2023,36.5,88,12.8,0.249,logos/COL.svg
DET,2023,40.6,89.1,13.3,0.236,logos/DET.svg
HOU,2023,38.8,88.7,13.2,0.259,logos/HOU.svg
KCR,2023,41.1,89.4,13.4,0.244,logos/KCR.svg
LAA,2023,40.4,89.3,13.6,0.245,logos/LAA.svg
LAD,2023,40.7,89.2,15.5,0.257,logos/LAD.svg
MIA,2023,38,88.9,10.2,0.259,logos/MIA.svg
MIL,2023,37.8,88.3,11.7,0.24,logos/MIL.svg
MIN,2023,41.4,89.4,14.5,0.243,logos/MIN.svg
NYM,2023,40.1,89.4,13.3,0.238,logos/NYM.svg
NYY,2023,41.8,89.8,13,0.227,logos/NYY.svg
OAK,2023,35.2,88.2,12.9,0.223,logos/OAK.svg
PHI,2023,40.7,89.5,13.2,0.256,logos/PHI.svg
PIT,2023,40.4,89.2,11.9,0.239,logos/PIT.svg
SDN,2023,39.4,89.3,13.2,0.244,logos/SDN.svg
SEA,2023,41.3,89.3,15,0.242,logos/SEA.svg
SF,2023,39.1,88.7,13.8,0.235,logos/SF.svg
STL,2023,41.6,89.4,13,0.25,logos/STL.svg
TB,2023,40.8,89.4,12.4,0.26,logos/TB.svg
TEX,2023,41.6,89.8,14.3,0.263,logos/TEX.svg
TOR,2023,38.9,88.7,13,0.256,logos/TOR.svg
WAS,2023,35.3,87.9,11.3,0.254,logos/WAS.svg
ARI,2024,39.1,89.1,12.8,0.263,logos/ARI.svg
ATL,2024,42.6,89.9,13.8,0.243,logos/ATL.svg
BAL,2024,42.4,89.7,14.5,0.25,logos/BAL.svg
BOS,2024,41,89.1,13.2,0.252,logos/BOS.svg
CHC,2024,38.3,88.7,14.5,0.242,logos/CHC.svg
CHW,2024,35.3,88,13.1,0.221,logos/CHW.svg
CIN,2024,35.9,87.8,14,0.231,logos/CIN.svg
CLE,2024,33.8,87.7,14.4,0.238,logos/CLE.svg
COL,2024,39.5,88.6,12.8,0.242,logos/COL.svg
DET,2024,38,88.6,14.5,0.234,logos/DET.svg
HOU,2024,39,88.9,13.5,0.262,logos/HOU.svg
KCR,2024,40.5,89.5,13.8,0.248,logos/KCR.svg
LAA,2024,36.4,88.2,13,0.229,logos/LAA.svg
LAD,2024,41.3,89.4,15.5,0.258,logos/LAD.svg
MIA,2024,36.8,88.2,9.7,0.244,logos/MIA.svg
MIL,2024,38.6,88.6,11.5,0.248,logos/MIL.svg
MIN,2024,38.3,88.8,15,0.246,logos/MIN.svg
NYM,2024,41.3,89.3,12.9,0.246,logos/NYM.svg
NYY,2024,42.4,90.1,12.7,0.248,logos/NYY.svg
OAK,2024,39.2,89.2,13.8,0.233,logos/OAK.svg
PHI,2024,40.2,89.1,12.8,0.257,logos/PHI.svg
PIT,2024,40.1,89.1,11.7,0.234,logos/PIT.svg
SDN,2024,38.6,89.1,13.2,0.263,logos/SDN.svg
SEA,2024,40.5,89.2,15.4,0.224,logos/SEA.svg
SF,2024,39.7,89.3,14.3,0.239,logos/SF.svg
STL,2024,38.2,88.7,13.1,0.248,logos/STL.svg
TB,2024,36.6,87.9,13.2,0.23,logos/TB.svg
TEX,2024,38.9,88.6,13.9,0.238,logos/TEX.svg
TOR,2024,37,88.1,13.4,0.241,logos/TOR.svg
WAS,2024,36.8,88.1,10.7,0.243,logos/WAS.svg
